paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,24,C,gross photosynthesis,92.51786711,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,14.97744361,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,26,C,gross photosynthesis,95.42293897,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,16.60150376,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,28,C,gross photosynthesis,103.7415447,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,14.61717899,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,30,C,gross photosynthesis,89.32330827,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.383458647,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
becker2021,becker2021,figure 4a,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.344440872,log umol cm^-2 hr^-1,o2,log umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,coral
becker2021,becker2021,figure 4a,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.362394196,log umol cm^-2 hr^-1,o2,log umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,coral
becker2021,becker2021,figure 4a,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.401785827,log umol cm^-2 hr^-1,o2,log umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,coral
becker2021,becker2021,figure 4a,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.412580467,log umol cm^-2 hr^-1,o2,log umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,coral
becker2021,becker2021,figure 4a,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.426885253,log umol cm^-2 hr^-1,o2,log umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,coral
becker2021,becker2021,figure 4a,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.441290688,log umol cm^-2 hr^-1,o2,log umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,coral
becker2021,becker2021,figure 4a,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.455595474,log umol cm^-2 hr^-1,o2,log umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,coral
