latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit,gpp_value,npp_value,r_value
21.4691,minutum,3.6392378795454543e-5,38.27978928434875,30,npp,russnak2021,48,,3.6392378795454543e-5,-2.16E-05
21.4691,minutum,2.8885104988636368e-5,38.028897661970575,32,npp,russnak2021,48,,2.8885104988636368e-5,-2.21E-05
21.4691,minutum,1.5961387606060606e-5,37.781273389387344,34,npp,russnak2021,48,,1.5961387606060606e-5,-2.27E-05
21.4691,trenchii,4.145083901515152e-5,39.58559823145258,20,npp,russnak2021,49,,4.145083901515152e-5,-2.04E-05
21.4691,trenchii,4.245215473484849e-5,39.31735768778696,22,npp,russnak2021,49,,4.245215473484849e-5,-2.25E-05
21.4691,trenchii,4.0356136363636364e-5,39.052727987717724,24,npp,russnak2021,49,,4.0356136363636364e-5,-3.08E-05
21.4691,trenchii,3.0534941249999996e-5,38.79163670917708,26,npp,russnak2021,49,,3.0534941249999996e-5,-3.36E-05
21.4691,trenchii,3.4628402916666666e-5,38.53401335397749,28,npp,russnak2021,49,,3.4628402916666666e-5,-3.19E-05
21.4691,trenchii,3.3310609174242426e-5,38.27978928434875,30,npp,russnak2021,49,,3.3310609174242426e-5,-3.01E-05
21.4691,trenchii,2.657637185606061e-5,38.028897661970575,32,npp,russnak2021,49,,2.657637185606061e-5,-2.75E-05
21.4691,trenchii,1.6755176750000003e-5,37.781273389387344,34,npp,russnak2021,49,,1.6755176750000003e-5,-2.58E-05
21.4691,minutum,4.467522109848485e-5,39.58559823145258,20,npp,russnak2021,50,,4.467522109848485e-5,-9.70E-06
21.4691,minutum,7.077352473484848e-5,39.31735768778696,22,npp,russnak2021,50,,7.077352473484848e-5,-1.26E-05
21.4691,minutum,4.9024938371212124e-5,39.052727987717724,24,npp,russnak2021,50,,4.9024938371212124e-5,-1.55E-05
21.4691,minutum,4.612512685606061e-5,38.79163670917708,26,npp,russnak2021,50,,4.612512685606061e-5,-2.06E-05
21.4691,minutum,4.6850079734848485e-5,38.53401335397749,28,npp,russnak2021,50,,4.6850079734848485e-5,-2.49E-05
21.4691,minutum,4.612512685606061e-5,38.27978928434875,30,npp,russnak2021,50,,4.612512685606061e-5,-2.78E-05
21.4691,minutum,4.395026821969698e-5,38.028897661970575,32,npp,russnak2021,50,,4.395026821969698e-5,-2.93E-05
21.4691,minutum,4.032550382575758e-5,37.781273389387344,34,npp,russnak2021,50,,4.032550382575758e-5,-3.07E-05
-8.7832,voratum,3.9852106969696966e-5,39.58559823145258,20,npp,russnak2021,51,,3.9852106969696966e-5,-2.22E-05
-8.7832,voratum,4.478524276515152e-5,39.31735768778696,22,npp,russnak2021,51,,4.478524276515152e-5,-1.25E-05
-8.7832,voratum,4.3443139659090916e-5,39.052727987717724,24,npp,russnak2021,51,,4.3443139659090916e-5,-1.31E-05
-8.7832,voratum,3.8955644280303034e-5,38.79163670917708,26,npp,russnak2021,51,,3.8955644280303034e-5,-1.60E-05
-8.7832,voratum,3.368309628787879e-5,38.53401335397749,28,npp,russnak2021,51,,3.368309628787879e-5,-1.73E-05
-8.7832,voratum,2.6840443109848487e-5,38.27978928434875,30,npp,russnak2021,51,,2.6840443109848487e-5,-2.26E-05
-8.7832,voratum,2.078284253409091e-5,38.028897661970575,32,npp,russnak2021,51,,2.078284253409091e-5,-2.48E-05
-8.7832,voratum,1.1590213424242425e-5,37.781273389387344,34,npp,russnak2021,51,,1.1590213424242425e-5,-2.22E-05
-8.7832,psygmophilum,8.396542750000001e-5,39.58559823145258,20,npp,russnak2021,52,,8.396542750000001e-5,-3.34E-05
-8.7832,psygmophilum,9.538199106060607e-5,39.31735768778696,22,npp,russnak2021,52,,9.538199106060607e-5,-3.32E-05
-8.7832,psygmophilum,9.555979340909092e-5,39.052727987717724,24,npp,russnak2021,52,,9.555979340909092e-5,-4.06E-05
-8.7832,psygmophilum,8.699633700757577e-5,38.79163670917708,26,npp,russnak2021,52,,8.699633700757577e-5,-5.04E-05
-8.7832,psygmophilum,7.843288056818182e-5,38.53401335397749,28,npp,russnak2021,52,,7.843288056818182e-5,-5.52E-05
-8.7832,psygmophilum,6.362566791666668e-5,38.27978928434875,30,npp,russnak2021,52,,6.362566791666668e-5,-5.88E-05
-8.7832,psygmophilum,4.756556909090909e-5,38.028897661970575,32,npp,russnak2021,52,,4.756556909090909e-5,-6.11E-05
-8.7832,psygmophilum,3.0260853935606063e-5,37.781273389387344,34,npp,russnak2021,52,,3.0260853935606063e-5,-5.72E-05
-8.7832,psygmophilum,6.764069265151515e-5,39.58559823145258,20,npp,russnak2021,53,,6.764069265151515e-5,-1.85E-05
