tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
3_kemp2011,shallow,hard,24.84,astreoides,1.3211382164634147e-8,NA,12,hermatypic coral,gpp,kemp2011
4_kemp2011,shallow,hard,24.84,faveolata,8.079268292682929e-8,NA,20,hermatypic coral,gpp,kemp2011
4_kemp2011,shallow,hard,24.84,faveolata,4.217479679878049e-8,NA,16,hermatypic coral,gpp,kemp2011
4_kemp2011,shallow,hard,24.84,faveolata,6.6056910060975615e-9,NA,12,hermatypic coral,gpp,kemp2011
3_jiang2021,shallow,hard,18.2217,damicornis,5.364452060170045e-4,1.0287990843688685e-4,27,brooding coral,gpp,jiang2021
3_jiang2021,shallow,hard,18.2217,damicornis,8.744791693917594e-4,2.20456939175932e-4,29,brooding coral,gpp,jiang2021
3_jiang2021,shallow,hard,18.2217,damicornis,0.0011941417266187048,1.469712884238064e-4,31,brooding coral,gpp,jiang2021
3_jiang2021,shallow,hard,18.2217,damicornis,8.267134990189666e-4,5.143994767822106e-5,32,brooding coral,gpp,jiang2021
3_jiang2021,shallow,hard,18.2217,damicornis,1.9106267495094833e-4,1.616684238064094e-4,33,brooding coral,gpp,jiang2021
5_castillohelmuth2005,shallow,hard,16.1,annularis,1.0188796598069107e-10,NA,29,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,1.2746473737296747e-10,NA,30,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,1.370520974085366e-10,NA,30,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,2.2093887812499997e-10,NA,31,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,2.2733045147357725e-10,NA,31,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,2.624841049288618e-10,NA,31,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,2.374521889481707e-10,NA,32,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,2.4384376229674794e-10,NA,32,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,3.301195243902438e-10,NA,32,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,2.923044618902439e-10,NA,33,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,3.0828339532520324e-10,NA,33,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,3.5302440879065035e-10,NA,33,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,1.6980105233739835e-10,NA,34,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,1.9376945238821138e-10,NA,34,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,2.001610257367886e-10,NA,34,hermatypic coral,gpp,castillohelmuth2005
5_castillohelmuth2005,shallow,hard,16.1,annularis,6.966814951727641e-11,NA,35,hermatypic coral,gpp,castillohelmuth2005
