tpc_grp,response_id,study_id,elevation_broad,lichen_type,latitude,species,inv_T,mol_gCmin,metabolic_category
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01376544566709677,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01412081125548387,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01452694335677419,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01483154243225806,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01513614150967741,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01538997407225806,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01559304012193548,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.01433225378129032,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.01483998236516128,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.01509375147096774,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.01529681752064516,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.01549988357225806,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.0157537161348387,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.0161090817232258,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.01631214777483871,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.99489271601007,0.01651521382451612,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.31735768778696,0.0160414988032258,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.31735768778696,0.01665069695612903,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.31735768778696,0.0168791462632258,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,39.31735768778696,0.01708221231290322,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,38.66239587389746,0.01503467194258064,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,38.66239587389746,0.01526312124774193,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,38.66239587389746,0.01541542078645161,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,38.66239587389746,0.01571995640516128,npp
2_lange2002florai,2,lange2002florai,neutral,green algae,49.9174,muralis,42.17524303670842,-6.186111096774192e-4,npp
3_green1998,3,green1998,neutral,green algae,-77.01,aprina,42.4840495022893,0.01672880531612903,npp
3_green1998,3,green1998,neutral,green algae,-77.01,aprina,41.720359955241136,0.02373156102580645,npp
3_green1998,3,green1998,neutral,green algae,-77.01,aprina,40.9836416088657,0.02840006483225806,npp
3_green1998,3,green1998,neutral,green algae,-77.01,aprina,40.27249044438772,-0.00389041984064516,npp
3_green1998,3,green1998,neutral,green algae,-77.01,aprina,39.58559823145258,-0.00350137785677419,npp
1_sundberg1997,1,sundberg1997,neutral,cyanobacteria + green algae,64.14,pulmonaria,41.720359955241136,0.00144681152903225,npp
