tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_tretiach1997,green algae,neutral,45.39,baldensis,6.810882967741935e-4,41.42251694288889,7,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,6.871587038709677e-4,41.42251694288889,7,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,7.844199251612902e-4,41.42251694288889,7,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,9.485326045161289e-4,41.42251694288889,7,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,9.606926612903226e-4,41.42251694288889,7,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0010033298264516127,41.42251694288889,7,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,9.180362574193548e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,9.84887713548387e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,7.416576987096773e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,6.626461838709677e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,7.234560929032257e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,7.233791283870966e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,8.449508458064515e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,9.178630916129031e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,8.934948735483869e-4,40.9836416088657,10,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,7.111517303225808e-4,40.839409190745464,11,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,7.172894806451612e-4,40.839409190745464,11,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0013072254445161292,40.1332115564597,16,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0012829149503225806,40.1332115564597,16,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001264612333548387,40.1332115564597,16,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001210137389032258,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0013681796593548387,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0013863668341935482,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0013681892787096772,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.00141068214,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0014045924883870967,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0013803685761290322,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0012952674135483868,39.99489271601007,17,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0011552247232258063,39.58559823145258,20,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0011734936722580646,39.58559823145258,20,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001185596007096774,39.58559823145258,20,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0016415500703225807,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001538179960645161,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0015321865141935485,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0014106436587096776,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001337721791612903,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.001264761447096774,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0013010973154838708,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0012889661187096774,39.451022000851,21,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,0.0012098584006451612,39.451022000851,21,gpp,tretiach1997,1
